mode_main,distance,density,age,male,education,income,cars,license,bicycles,weekend,green,temp,precip,wind,group
1,5.0,1.68162,41,1,1.0,1.0,1,1,5,1,26.3557072431,-1.0,0.0,2.5,0
1,8.0,0.54441,61,0,0.5,1.0,1,1,2,1,84.6444834881,-2.9,0.0,1.5,1
0,9.0,0.54441,61,0,0.5,1.0,1,1,2,1,84.6444834881,-2.9,0.0,1.5,1
1,60.0,0.54441,61,0,0.5,1.0,1,1,2,1,84.6444834881,-2.9,0.0,1.5,1
1,60.0,9.8804,61,0,0.5,1.0,1,1,2,1,84.6444834881,-2.9,0.0,1.5,1
1,60.0,0.65551,54,1,0.0,0.5,1,1,3,1,77.1356253955,-2.9,0.0,1.5,0
1,60.0,10.47006,54,1,0.0,0.5,1,1,3,1,77.1356253955,-2.9,0.0,1.5,0
1,5.0,1.98657,41,1,1.0,1.0,1,1,3,1,33.6461432822,-0.8,0.05,2.7,0
1,5.0,2.12937,41,1,1.0,1.0,1,1,3,1,33.6461432822,-0.8,0.05,2.7,0
1,2.0,1.98657,41,1,1.0,1.0,1,1,3,1,33.6461432822,-0.8,0.05,2.7,0
1,7.0,1.97044,41,1,1.0,1.0,1,1,3,1,33.6461432822,-0.8,0.05,2.7,0
1,7.0,2.12937,41,1,1.0,1.0,1,1,3,1,33.6461432822,-0.8,0.05,2.7,0
1,2.0,1.97044,41,1,1.0,1.0,1,1,3,1,33.6461432822,-0.8,0.05,2.7,0
0,4.0,1.47082,52,1,1.0,1.0,2,1,2,1,53.3465683494,0.0,0.0,2.6,0
1,5.0,1.47082,52,1,1.0,1.0,2,1,2,1,53.3465683494,0.0,0.0,2.6,0
1,5.0,0.046,52,1,1.0,1.0,2,1,2,1,53.3465683494,0.0,0.0,2.6,0
1,20.0,1.47082,52,1,1.0,1.0,2,1,2,1,53.3465683494,0.0,0.0,2.6,0
1,20.0,0.046,52,1,1.0,1.0,2,1,2,1,53.3465683494,0.0,0.0,2.6,0
0,5.0,0.046,52,1,1.0,1.0,2,1,2,1,53.3465683494,0.0,0.0,2.6,0
0,0.1,1.09649,38,0,1.0,1.0,2,1,7,1,47.2847682119,-0.5,0.0,2.8,1
0,0.1,1.09649,38,0,1.0,1.0,2,1,7,1,47.2847682119,-0.5,0.0,2.8,1
0,8.0,1.81743,27,0,0.5,0.5,1,1,2,1,36.4913544669,0.0,0.05,2.6,1
0,1.5,1.43042,27,0,0.5,0.5,1,1,2,1,36.4913544669,0.0,0.05,2.6,1
0,10.0,4.76598,55,0,0.0,0.5,1,0,2,1,9.70873786408,-0.5,0.0,2.8,1
0,10.0,3.93793,55,0,0.0,0.5,1,0,2,1,9.70873786408,-0.5,0.0,2.8,1
1,15.0,2.77318,44,0,1.0,1.0,2,1,7,1,37.2693726937,0.0,0.05,2.6,1
1,15.0,1.037,44,0,1.0,1.0,2,1,7,1,37.2693726937,0.0,0.05,2.6,1
0,0.5,2.77318,44,0,1.0,1.0,2,1,7,1,37.2693726937,0.0,0.05,2.6,1
0,0.5,1.98122,44,0,1.0,1.0,2,1,7,1,37.2693726937,0.0,0.05,2.6,1
1,10.0,0.51595,32,1,1.0,0.5,2,1,1,1,83.9677702598,2.1,1.5,3.5,0
1,10.0,0.14334,32,1,1.0,0.5,2,1,1,1,83.9677702598,2.1,1.5,3.5,0
2,30.0,0.26182,36,1,0.5,0.5,1,1,9,1,86.3802531799,0.5,3.85,2.0,0
